Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2022_Bahrain_Sprint,VER,1,C5,Exponential with Asymptote,0.0034907165879801937,0.9849563511093088,1.1666666666666667,[97.93827265  0.2348847  99.61387869],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,VER,2,C5,Exponential with Asymptote,0.05094133736739843,0.8504605845365611,1.0,[9.72632796e+01 4.11869281e-02 1.01454400e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,VER,3,C4,Exponential with Asymptote,0.022411361059786417,0.8806944560709206,1.0909090909090908,[9.62989796e+01 1.20019133e-02 1.07640500e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,GAS,1,C5,Exponential with Asymptote,0.010292076936474485,0.9478818113910086,0.8333333333333334,[9.99363653e+01 1.15375332e-02 1.11481700e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,GAS,2,C4,Exponential with Asymptote,0.008609938790334759,0.9326506557821407,1.1428571428571428,[9.87212664e+01 2.01815945e-02 1.03252755e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,PER,1,C5,Exponential with Asymptote,0.0787823170910371,0.6258625947732182,0.46153846153846156,[9.89497509e+01 2.09867229e-02 1.04180405e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,PER,2,C4,Exponential with Asymptote,0.008244359845499497,0.9870124596985564,1.25,[9.66421286e+01 7.61788697e-02 1.00444214e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,PER,3,C5,Exponential with Asymptote,0.5157737890391573,0.5679061020349376,0.4444444444444444,[9.60361402e+01 2.43472662e-02 1.10250800e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,ALO,1,C5,Exponential with Asymptote,0.4817764899380501,0.6788486791663797,0.8,[9.96521751e+01 2.57783731e-02 1.14691500e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,ALO,2,C4,Exponential with Asymptote,0.11330700796505787,0.40729667625172183,0.8333333333333334,[ 99.09583615   1.         100.08863068],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,ALO,3,C3,Exponential with Asymptote,0.06259232488552409,0.8248573709112308,0.8,[9.83102673e+01 5.48414631e-02 1.01600294e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,ALO,5,C5,Linear (fallback),9.919058000000035,0.9139386458580625,1.3333333333333333,"[np.float64(-12.569999999999999), np.float64(128.487)]",28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,LEC,1,C5,Exponential with Asymptote,0.010485173216096991,0.9534752749819574,1.0769230769230769,[9.79776038e+01 8.60778095e-02 1.00293705e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,LEC,2,C5,Exponential with Asymptote,0.0527892558269056,0.8604025027416266,0.8571428571428571,[9.71981704e+01 1.25913694e-02 1.09289400e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,LEC,3,C4,Exponential with Asymptote,0.018289705724746627,0.8504661265631979,0.6153846153846154,[9.63630086e+01 8.27797405e-03 1.07259900e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,STR,1,C5,Exponential with Asymptote,0.08292285771870975,0.6041965708668942,1.375,[100.89530453   0.3714833  102.16235959],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,STR,2,C5,Exponential with Asymptote,0.06366239067398585,0.7950419701476937,0.8888888888888888,[ 98.72991061   0.27479057 100.5014956 ],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,STR,3,C4,Exponential with Asymptote,0.2021262242151646,0.3292227393286773,1.2,[97.84941198  0.72547926 98.76388595],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,STR,5,C5,Exponential with Asymptote,4.827561197629985,0.9586732820880984,0.5454545454545454,[134.00352383   1.          97.58942829],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,MAG,1,C5,Exponential with Asymptote,0.6878511916642835,0.49455203034811956,0.7692307692307693,[9.96044326e+01 1.58187187e-02 1.14668400e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,MAG,2,C5,Exponential with Asymptote,0.005092539961562556,0.9912263279692254,1.0,[9.80311443e+01 3.01790414e-02 1.04231627e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,MAG,3,C4,Exponential with Asymptote,0.10059703094478066,0.5190472889684499,1.3333333333333333,[9.73246022e+01 1.18187347e-02 1.08556800e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,MAG,4,C4,Linear (fallback),19.908050000000014,0.6775855783188622,1.3333333333333333,"[np.float64(-7.921999999999996), np.float64(129.333)]",28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,MAG,5,C5,Exponential with Asymptote,22.757705099855055,0.8735343771613903,0.5,[133.11987263   1.          94.5170999 ],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,TSU,1,C5,Exponential with Asymptote,0.04101845139835577,0.6053693959327497,1.3846153846153846,[1.00557528e+02 6.36361425e-03 1.11487200e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,TSU,2,C4,Exponential with Asymptote,0.12897662646310326,0.4605889576499862,1.1666666666666667,[9.90756818e+01 8.85546339e-03 1.10413600e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,TSU,3,C5,Exponential with Asymptote,0.07342171740337386,0.1279748922136269,1.2307692307692308,[9.84427828e+01 2.69705985e-03 1.08878000e+02],28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,TSU,4,C5,Linear (fallback),15.863466888888935,0.8534766840170758,1.3333333333333333,"[np.float64(-11.773000000000003), np.float64(127.39966666666666)]",28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,TSU,6,C5,Linear (fallback),0.31521970918367803,0.09287012176843323,0.5714285714285714,"[np.float64(0.0898214285714296), np.float64(97.40667857142857)]",28.61042944785276,23.617791411042944
2022_Bahrain_Sprint,ALB,1,C5,Exponential with Asymptote,0.3702461002949149,0.7249882454011711,1.1666666666666667,[1.00577900e+02 2.19763984e-02 1.15227200e+02],28.61042944785276,23.617791411042944
