Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2023_Miami_Sprint,VER,1,C3,Double Exponential,0.022352786607244855,0.9530185237443822,0.8,[9.42391814e+01 1.00000000e+00 5.14292676e-04 1.32552278e-02],36.689032258064515,27.11741935483871
2023_Miami_Sprint,VER,2,C4,Exponential with Asymptote,0.041209375215389525,0.6944191539727492,1.0909090909090908,[9.10369860e+01 5.15148682e-03 7.17664000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,PER,1,C4,Exponential with Asymptote,0.04818935630464865,0.7165648820196302,0.9411764705882353,[93.87458202  0.27163941 92.6511142 ],36.689032258064515,27.11741935483871
2023_Miami_Sprint,PER,3,C3,Exponential with Asymptote,0.07691234128008465,0.47376509915572207,0.9411764705882353,[9.17872074e+01 1.31258024e-03 7.24480000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,ALO,1,C4,Exponential with Asymptote,0.05330023137292851,0.7287352934117423,0.6666666666666666,[93.88780077  0.16554477 92.54271711],36.689032258064515,27.11741935483871
2023_Miami_Sprint,ALO,3,C3,Exponential with Asymptote,0.1389197391797551,0.4787287093544962,0.5,[9.26526661e+01 8.37010914e-02 9.13064415e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,RUS,1,C4,Exponential with Asymptote,0.05281685149546612,0.707648870529676,0.9333333333333333,[94.00513708  0.11708658 92.55299958],36.689032258064515,27.11741935483871
2023_Miami_Sprint,RUS,2,C3,Exponential with Asymptote,0.048932020413478904,0.7869204555775773,0.8947368421052632,[9.26917511e+01 4.38628297e-03 8.31967701e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,SAI,1,C4,Exponential with Asymptote,0.051187250487993816,0.6928506197367488,0.875,[94.14331695  0.457142   92.9052452 ],36.689032258064515,27.11741935483871
2023_Miami_Sprint,SAI,2,C3,Exponential with Asymptote,0.06657832448789107,0.6763570161108124,0.5714285714285714,[9.27118755e+01 1.74887026e-03 7.30896000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,HAM,1,C3,Exponential with Asymptote,0.059704008124498144,0.8277586827217241,0.9696969696969697,[9.43329681e+01 3.50555210e-02 9.17440903e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,HAM,3,C4,Exponential with Asymptote,0.028551236668646333,0.6147916770156164,1.0,[9.16998499e+01 2.14712059e-03 7.25352000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,LEC,1,C4,Exponential with Asymptote,0.11727800156215025,0.7033573922483536,0.42857142857142855,[95.01454383  0.33882407 93.204924  ],36.689032258064515,27.11741935483871
2023_Miami_Sprint,LEC,2,C3,Exponential with Asymptote,0.07299929678137589,0.6717558793822245,0.8947368421052632,[9.30922449e+01 4.75068333e-02 9.15180119e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,GAS,1,C4,Exponential with Asymptote,0.022236193985583852,0.7034921245893976,1.0909090909090908,[94.13684136  1.         93.34662602],36.689032258064515,27.11741935483871
2023_Miami_Sprint,GAS,2,C3,Exponential with Asymptote,0.03336694463159173,0.5554799575168906,0.8108108108108109,[9.26886804e+01 9.03288824e-04 7.35768001e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,OCO,1,C3,Double Exponential,0.08122958710179877,0.6946872839750338,1.0857142857142856,[9.51495286e+01 7.23189448e-01 1.80284017e-04 1.78028180e-02],36.689032258064515,27.11741935483871
2023_Miami_Sprint,OCO,2,C4,Exponential with Asymptote,0.07214909196872221,0.16335211236510905,0.7058823529411765,[9.19064938e+01 1.28367242e-03 7.29144000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,MAG,1,C4,Exponential with Asymptote,0.05175682398345787,0.8062922416380068,1.0909090909090908,[94.74962763  0.41393653 93.21118692],36.689032258064515,27.11741935483871
2023_Miami_Sprint,MAG,2,C3,Exponential with Asymptote,0.2048607873735428,0.18430305801450952,0.6666666666666666,[9.29801830e+01 9.16412073e-04 7.33528000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,TSU,1,C3,Exponential with Asymptote,0.07980702163674858,0.6314067342679779,0.6875,[9.39944260e+01 1.95621731e-03 7.38208000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,TSU,2,C4,Exponential with Asymptote,0.04057733431754093,0.7798747677659745,0.7777777777777778,[9.25094687e+01 3.55219940e-03 7.28304000e+01],36.689032258064515,27.11741935483871
2023_Miami_Sprint,STR,1,C3,Exponential with Asymptote,0.0568614543754138,0.8323275397008814,0.5945945945945946,[9.41450812e+01 2.39520675e-03 7.37920000e+01],36.689032258064515,27.11741935483871
